observationID,deploymentID,eventID,observationLevel,observationType,scientificName,taxonID,count,classificationMethod,classifiedBy,classificationTimestamp
WBGBIF2026_E0001_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0001,event,animal,Accipiter nisus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0002_obs,WBGBIF2026_D_LUX_273ee7a0,WBGBIF2026_E0002,event,animal,Accipiter nisus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0003_obs,WBGBIF2026_D_LUX_273ee7a0,WBGBIF2026_E0003,event,animal,Accipiter nisus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0007_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0007,event,animal,Alopochen aegyptiaca,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0008_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0008,event,animal,Alopochen aegyptiaca,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0009_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0009,event,animal,Alopochen aegyptiaca,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0010_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0010,event,animal,Anas platyrhynchos,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0011_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0011,event,animal,Anas platyrhynchos,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0012_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0012,event,animal,Anas platyrhynchos,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0013_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0013,event,animal,Apodemus sylvaticus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0014_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0014,event,animal,Apodemus sylvaticus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0015_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0015,event,animal,Apodemus sylvaticus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0016_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0016,event,animal,Ardea cinerea,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0017_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0017,event,animal,Ardea cinerea,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0018_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0018,event,animal,Ardea cinerea,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0019_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0019,event,animal,Atelocynus microtis,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0020_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0020,event,animal,Atelocynus microtis,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0021_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0021,event,animal,Atelocynus microtis,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0022_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0022,event,animal,Bos taurus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0023_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0023,event,animal,Bos taurus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0024_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0024,event,animal,Bos taurus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0028_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0028,event,animal,Buteo buteo,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0029_obs,WBGBIF2026_D_LUX_fc3f505a,WBGBIF2026_E0029,event,animal,Buteo buteo,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0030_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0030,event,animal,Buteo buteo,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0034_obs,WBGBIF2026_D_LUX_fc3f505a,WBGBIF2026_E0034,event,animal,Capreolus capreolus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0035_obs,WBGBIF2026_D_LUX_fc3f505a,WBGBIF2026_E0035,event,animal,Capreolus capreolus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0036_obs,WBGBIF2026_D_LUX_fc3f505a,WBGBIF2026_E0036,event,animal,Capreolus capreolus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0037_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0037,event,animal,Castor fiber,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0038_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0038,event,animal,Castor fiber,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0039_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0039,event,animal,Castor fiber,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0040_obs,WBGBIF2026_D_LUX_fc3f505a,WBGBIF2026_E0040,event,animal,Cervus elaphus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0041_obs,WBGBIF2026_D_LUX_fc3f505a,WBGBIF2026_E0041,event,animal,Cervus elaphus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0042_obs,WBGBIF2026_D_LUX_fc3f505a,WBGBIF2026_E0042,event,animal,Cervus elaphus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0055_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0055,event,animal,Columba palumbus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0056_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0056,event,animal,Columba palumbus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0057_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0057,event,animal,Columba palumbus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0058_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0058,event,animal,Corvus corone,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0059_obs,WBGBIF2026_D_LUX_273ee7a0,WBGBIF2026_E0059,event,animal,Corvus corone,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0060_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0060,event,animal,Corvus corone,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0061_obs,WBGBIF2026_D_LUX_1290a78f,WBGBIF2026_E0061,event,animal,Corvus frugilegus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0062_obs,WBGBIF2026_D_LUX_1290a78f,WBGBIF2026_E0062,event,animal,Corvus frugilegus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0063_obs,WBGBIF2026_D_LUX_1290a78f,WBGBIF2026_E0063,event,animal,Corvus frugilegus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0064_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0064,event,animal,Cuniculus paca,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0065_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0065,event,animal,Cuniculus paca,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0066_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0066,event,animal,Cuniculus paca,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0070_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0070,event,animal,Dama dama,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0071_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0071,event,animal,Dama dama,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0072_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0072,event,animal,Dama dama,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0073_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0073,event,animal,Dasyprocta fuliginosa,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0074_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0074,event,animal,Dasyprocta fuliginosa,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0075_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0075,event,animal,Dasyprocta fuliginosa,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0076_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0076,event,animal,Dasyprocta punctata,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0077_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0077,event,animal,Dasyprocta punctata,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0078_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0078,event,animal,Dasyprocta punctata,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0079_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0079,event,animal,Dasypus novemcinctus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0080_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0080,event,animal,Dasypus novemcinctus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0081_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0081,event,animal,Dasypus novemcinctus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0082_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0082,event,animal,Dendrocopos major,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
