presentation_scope,model_route,run_index,source_result_path,event_id,ground_truth_species,ground_truth_class,country,country_code,prediction_species,prediction_genus,prediction_family,prediction_order,prediction_class,confidence,tis_points,adjusted_tis_points,hallucinated,invalid_taxa_levels
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0001,Accipiter nisus,Aves,Belgium,BEL,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0002,Accipiter nisus,Aves,Luxembourg,LUX,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0003,Accipiter nisus,Aves,Luxembourg,LUX,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0007,Alopochen aegyptiaca,Aves,Belgium,BEL,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0008,Alopochen aegyptiaca,Aves,Belgium,BEL,Phasianus colchicus,Phasianus,Phasianidae,Galliformes,Aves,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0009,Alopochen aegyptiaca,Aves,Belgium,BEL,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0010,Anas platyrhynchos,Aves,Belgium,BEL,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0011,Anas platyrhynchos,Aves,Belgium,BEL,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0012,Anas platyrhynchos,Aves,Belgium,BEL,,,,,Aves,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0013,Apodemus sylvaticus,Mammalia,Belgium,BEL,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0014,Apodemus sylvaticus,Mammalia,Belgium,BEL,,,,,Mammalia,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0015,Apodemus sylvaticus,Mammalia,Belgium,BEL,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0016,Ardea cinerea,Aves,Belgium,BEL,,,,,Aves,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0017,Ardea cinerea,Aves,Belgium,BEL,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0018,Ardea cinerea,Aves,Belgium,BEL,,,,,Aves,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0019,Atelocynus microtis,Mammalia,Ecuador,ECU,Atelocynus microtis,Atelocynus,Canidae,Carnivora,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0020,Atelocynus microtis,Mammalia,Ecuador,ECU,Atelocynus microtis,Atelocynus,Canidae,Carnivora,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0021,Atelocynus microtis,Mammalia,Ecuador,ECU,Atelocynus microtis,Atelocynus,Canidae,Carnivora,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0022,Bos taurus,Mammalia,Belgium,BEL,Bos taurus,Bos,Bovidae,Artiodactyla,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0023,Bos taurus,Mammalia,Ecuador,ECU,Bos taurus,Bos,Bovidae,Artiodactyla,Mammalia,,5.0,,,
