species,class,countries,event_count,included_event_count,excluded_event_count,status,exclusion_reasons,on_speciesnet_taxonomy,on_speciesnet_classifier_label,allowed_by_speciesnet_geo_policy
Accipiter nisus,Aves,BEL|LUX,3,3,0,included,,true,true,true
Alopochen aegyptiaca,Aves,BEL,3,3,0,included,,true,true,true
Anas platyrhynchos,Aves,BEL,3,3,0,included,,true,true,true
Ardea cinerea,Aves,BEL,3,3,0,included,,true,true,true
Buteo buteo,Aves,BEL|LUX,3,3,0,included,,true,true,true
Columba palumbus,Aves,BEL,3,3,0,included,,true,true,true
Corvus corone,Aves,BEL|LUX,3,3,0,included,,true,true,true
Corvus frugilegus,Aves,LUX,3,3,0,included,,true,true,true
Dendrocopos major,Aves,BEL,3,3,0,included,,true,true,true
Dryocopus martius,Aves,BEL|LUX,3,3,0,included,,true,true,true
Erithacus rubecula,Aves,BEL|DEU,3,3,0,included,,true,true,true
Falco tinnunculus,Aves,LUX,3,3,0,included,,true,true,true
Fringilla coelebs,Aves,DEU|LUX,3,3,0,included,,true,true,true
Gallinula chloropus,Aves,LUX,3,3,0,included,,true,true,true
Garrulus glandarius,Aves,BEL|LUX,3,3,0,included,,true,true,true
Mitu salvini,Aves,ECU,3,3,0,included,,true,true,true
Motacilla flava,Aves,LUX,3,3,0,included,,true,true,true
Nothocrax urumutum,Aves,ECU,3,3,0,included,,true,true,true
Passer domesticus,Aves,LUX,3,3,0,included,,true,true,true
Penelope purpurascens,Aves,ECU,3,3,0,included,,true,true,true
Phasianus colchicus,Aves,BEL,3,3,0,included,,true,true,true
Phoenicurus ochruros,Aves,LUX,3,3,0,included,,true,true,true
Phoenicurus phoenicurus,Aves,LUX,3,3,0,included,,true,true,true
Pica pica,Aves,BEL,3,3,0,included,,true,true,true
Picus viridis,Aves,BEL|LUX,3,3,0,included,,true,true,true
Psophia crepitans,Aves,ECU,3,3,0,included,,true,true,true
Saxicola rubicola,Aves,LUX,3,3,0,included,,true,true,true
Scolopax rusticola,Aves,BEL|LUX,3,3,0,included,,true,true,true
Sitta europaea,Aves,BEL,3,3,0,included,,true,true,true
Strix aluco,Aves,BEL,3,3,0,included,,true,true,true
Sturnus vulgaris,Aves,FRA|LUX,3,3,0,included,,true,true,true
Syrmaticus reevesii,Aves,BEL,3,3,0,included,,true,true,true
Tinamus major,Aves,ECU,3,3,0,included,,true,true,true
Tinamus tao,Aves,ECU,3,3,0,included,,true,true,true
Troglodytes troglodytes,Aves,BEL,3,3,0,included,,true,true,true
Turdus iliacus,Aves,BEL,3,3,0,included,,true,true,true
Turdus merula,Aves,BEL,3,3,0,included,,true,true,true
Turdus philomelos,Aves,BEL,3,3,0,included,,true,true,true
Turdus pilaris,Aves,DEU|LUX,3,3,0,included,,true,true,true
Turdus viscivorus,Aves,BEL|LUX,3,3,0,included,,true,true,true
