event_id,species,class_name,country,country_code,taxon_key,on_taxonomy,on_classifier_label,geofence_allowed,included,reason
WBGBIF2026_E0001,Accipiter nisus,Aves,Belgium,BEL,aves;accipitriformes;accipitridae;accipiter;nisus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0002,Accipiter nisus,Aves,Luxembourg,LUX,aves;accipitriformes;accipitridae;accipiter;nisus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0003,Accipiter nisus,Aves,Luxembourg,LUX,aves;accipitriformes;accipitridae;accipiter;nisus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0007,Alopochen aegyptiaca,Aves,Belgium,BEL,aves;anseriformes;anatidae;alopochen;aegyptiaca,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0008,Alopochen aegyptiaca,Aves,Belgium,BEL,aves;anseriformes;anatidae;alopochen;aegyptiaca,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0009,Alopochen aegyptiaca,Aves,Belgium,BEL,aves;anseriformes;anatidae;alopochen;aegyptiaca,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0010,Anas platyrhynchos,Aves,Belgium,BEL,aves;anseriformes;anatidae;anas;platyrhynchos,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0011,Anas platyrhynchos,Aves,Belgium,BEL,aves;anseriformes;anatidae;anas;platyrhynchos,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0012,Anas platyrhynchos,Aves,Belgium,BEL,aves;anseriformes;anatidae;anas;platyrhynchos,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0013,Apodemus sylvaticus,Mammalia,Belgium,BEL,mammalia;rodentia;muridae;apodemus;sylvaticus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0014,Apodemus sylvaticus,Mammalia,Belgium,BEL,mammalia;rodentia;muridae;apodemus;sylvaticus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0015,Apodemus sylvaticus,Mammalia,Belgium,BEL,mammalia;rodentia;muridae;apodemus;sylvaticus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0016,Ardea cinerea,Aves,Belgium,BEL,aves;pelecaniformes;ardeidae;ardea;cinerea,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0017,Ardea cinerea,Aves,Belgium,BEL,aves;pelecaniformes;ardeidae;ardea;cinerea,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0018,Ardea cinerea,Aves,Belgium,BEL,aves;pelecaniformes;ardeidae;ardea;cinerea,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0019,Atelocynus microtis,Mammalia,Ecuador,ECU,mammalia;carnivora;canidae;atelocynus;microtis,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0020,Atelocynus microtis,Mammalia,Ecuador,ECU,mammalia;carnivora;canidae;atelocynus;microtis,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0021,Atelocynus microtis,Mammalia,Ecuador,ECU,mammalia;carnivora;canidae;atelocynus;microtis,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0022,Bos taurus,Mammalia,Belgium,BEL,mammalia;artiodactyla;bovidae;bos;taurus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0023,Bos taurus,Mammalia,Ecuador,ECU,mammalia;artiodactyla;bovidae;bos;taurus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0024,Bos taurus,Mammalia,Ecuador,ECU,mammalia;artiodactyla;bovidae;bos;taurus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0028,Buteo buteo,Aves,Belgium,BEL,aves;accipitriformes;accipitridae;buteo;buteo,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0029,Buteo buteo,Aves,Luxembourg,LUX,aves;accipitriformes;accipitridae;buteo;buteo,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0030,Buteo buteo,Aves,Belgium,BEL,aves;accipitriformes;accipitridae;buteo;buteo,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0034,Capreolus capreolus,Mammalia,Luxembourg,LUX,mammalia;artiodactyla;cervidae;capreolus;capreolus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0035,Capreolus capreolus,Mammalia,Luxembourg,LUX,mammalia;artiodactyla;cervidae;capreolus;capreolus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0036,Capreolus capreolus,Mammalia,Luxembourg,LUX,mammalia;artiodactyla;cervidae;capreolus;capreolus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0037,Castor fiber,Mammalia,Belgium,BEL,mammalia;rodentia;castoridae;castor;fiber,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0038,Castor fiber,Mammalia,Belgium,BEL,mammalia;rodentia;castoridae;castor;fiber,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0039,Castor fiber,Mammalia,Belgium,BEL,mammalia;rodentia;castoridae;castor;fiber,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0040,Cervus elaphus,Mammalia,Luxembourg,LUX,mammalia;artiodactyla;cervidae;cervus;elaphus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0041,Cervus elaphus,Mammalia,Luxembourg,LUX,mammalia;artiodactyla;cervidae;cervus;elaphus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0042,Cervus elaphus,Mammalia,Luxembourg,LUX,mammalia;artiodactyla;cervidae;cervus;elaphus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0055,Columba palumbus,Aves,Belgium,BEL,aves;columbiformes;columbidae;columba;palumbus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0056,Columba palumbus,Aves,Belgium,BEL,aves;columbiformes;columbidae;columba;palumbus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0057,Columba palumbus,Aves,Belgium,BEL,aves;columbiformes;columbidae;columba;palumbus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0058,Corvus corone,Aves,Belgium,BEL,aves;passeriformes;corvidae;corvus;corone,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0059,Corvus corone,Aves,Luxembourg,LUX,aves;passeriformes;corvidae;corvus;corone,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0060,Corvus corone,Aves,Belgium,BEL,aves;passeriformes;corvidae;corvus;corone,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0061,Corvus frugilegus,Aves,Luxembourg,LUX,aves;passeriformes;corvidae;corvus;frugilegus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0062,Corvus frugilegus,Aves,Luxembourg,LUX,aves;passeriformes;corvidae;corvus;frugilegus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0063,Corvus frugilegus,Aves,Luxembourg,LUX,aves;passeriformes;corvidae;corvus;frugilegus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0064,Cuniculus paca,Mammalia,Ecuador,ECU,mammalia;rodentia;cuniculidae;cuniculus;paca,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0065,Cuniculus paca,Mammalia,Ecuador,ECU,mammalia;rodentia;cuniculidae;cuniculus;paca,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0066,Cuniculus paca,Mammalia,Ecuador,ECU,mammalia;rodentia;cuniculidae;cuniculus;paca,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0070,Dama dama,Mammalia,Belgium,BEL,mammalia;artiodactyla;cervidae;dama;dama,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0071,Dama dama,Mammalia,Belgium,BEL,mammalia;artiodactyla;cervidae;dama;dama,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0072,Dama dama,Mammalia,Belgium,BEL,mammalia;artiodactyla;cervidae;dama;dama,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0073,Dasyprocta fuliginosa,Mammalia,Ecuador,ECU,mammalia;rodentia;dasyproctidae;dasyprocta;fuliginosa,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0074,Dasyprocta fuliginosa,Mammalia,Ecuador,ECU,mammalia;rodentia;dasyproctidae;dasyprocta;fuliginosa,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0075,Dasyprocta fuliginosa,Mammalia,Ecuador,ECU,mammalia;rodentia;dasyproctidae;dasyprocta;fuliginosa,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0076,Dasyprocta punctata,Mammalia,Ecuador,ECU,mammalia;rodentia;dasyproctidae;dasyprocta;punctata,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0077,Dasyprocta punctata,Mammalia,Ecuador,ECU,mammalia;rodentia;dasyproctidae;dasyprocta;punctata,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0078,Dasyprocta punctata,Mammalia,Ecuador,ECU,mammalia;rodentia;dasyproctidae;dasyprocta;punctata,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0079,Dasypus novemcinctus,Mammalia,Ecuador,ECU,mammalia;cingulata;dasypodidae;dasypus;novemcinctus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0080,Dasypus novemcinctus,Mammalia,Ecuador,ECU,mammalia;cingulata;dasypodidae;dasypus;novemcinctus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0081,Dasypus novemcinctus,Mammalia,Ecuador,ECU,mammalia;cingulata;dasypodidae;dasypus;novemcinctus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0082,Dendrocopos major,Aves,Belgium,BEL,aves;piciformes;picidae;dendrocopos;major,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0083,Dendrocopos major,Aves,Belgium,BEL,aves;piciformes;picidae;dendrocopos;major,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0084,Dendrocopos major,Aves,Belgium,BEL,aves;piciformes;picidae;dendrocopos;major,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0088,Didelphis marsupialis,Mammalia,Ecuador,ECU,mammalia;didelphimorphia;didelphidae;didelphis;marsupialis,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0089,Didelphis marsupialis,Mammalia,Ecuador,ECU,mammalia;didelphimorphia;didelphidae;didelphis;marsupialis,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0090,Didelphis marsupialis,Mammalia,Ecuador,ECU,mammalia;didelphimorphia;didelphidae;didelphis;marsupialis,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0091,Dryocopus martius,Aves,Belgium,BEL,aves;piciformes;picidae;dryocopus;martius,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0092,Dryocopus martius,Aves,Belgium,BEL,aves;piciformes;picidae;dryocopus;martius,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0093,Dryocopus martius,Aves,Luxembourg,LUX,aves;piciformes;picidae;dryocopus;martius,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0094,Eira barbara,Mammalia,Ecuador,ECU,mammalia;carnivora;mustelidae;eira;barbara,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0095,Eira barbara,Mammalia,Ecuador,ECU,mammalia;carnivora;mustelidae;eira;barbara,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0096,Eira barbara,Mammalia,Ecuador,ECU,mammalia;carnivora;mustelidae;eira;barbara,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0103,Erinaceus europaeus,Mammalia,Belgium,BEL,mammalia;eulipotyphla;erinaceidae;erinaceus;europaeus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0104,Erinaceus europaeus,Mammalia,Belgium,BEL,mammalia;eulipotyphla;erinaceidae;erinaceus;europaeus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0105,Erinaceus europaeus,Mammalia,Belgium,BEL,mammalia;eulipotyphla;erinaceidae;erinaceus;europaeus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0106,Erithacus rubecula,Aves,Germany,DEU,aves;passeriformes;muscicapidae;erithacus;rubecula,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0107,Erithacus rubecula,Aves,Belgium,BEL,aves;passeriformes;muscicapidae;erithacus;rubecula,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0108,Erithacus rubecula,Aves,Belgium,BEL,aves;passeriformes;muscicapidae;erithacus;rubecula,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
WBGBIF2026_E0109,Falco tinnunculus,Aves,Luxembourg,LUX,aves;falconiformes;falconidae;falco;tinnunculus,true,true,true,true,included_speciesnet_classifier_label_and_country_geofence
