species,class,countries,event_count,included_event_count,excluded_event_count,status,exclusion_reasons,on_speciesnet_taxonomy,on_speciesnet_classifier_label,allowed_by_speciesnet_geo_policy
Accipiter nisus,Aves,BEL|LUX,3,3,0,included,,true,true,true
Alopochen aegyptiaca,Aves,BEL,3,3,0,included,,true,true,true
Anas platyrhynchos,Aves,BEL,3,3,0,included,,true,true,true
Apodemus sylvaticus,Mammalia,BEL,3,3,0,included,,true,true,true
Ardea cinerea,Aves,BEL,3,3,0,included,,true,true,true
Atelocynus microtis,Mammalia,ECU,3,3,0,included,,true,true,true
Bos taurus,Mammalia,BEL|ECU,3,3,0,included,,true,true,true
Buteo buteo,Aves,BEL|LUX,3,3,0,included,,true,true,true
Capreolus capreolus,Mammalia,LUX,3,3,0,included,,true,true,true
Castor fiber,Mammalia,BEL,3,3,0,included,,true,true,true
Cervus elaphus,Mammalia,LUX,3,3,0,included,,true,true,true
Columba palumbus,Aves,BEL,3,3,0,included,,true,true,true
Corvus corone,Aves,BEL|LUX,3,3,0,included,,true,true,true
Corvus frugilegus,Aves,LUX,3,3,0,included,,true,true,true
Cuniculus paca,Mammalia,ECU,3,3,0,included,,true,true,true
Dama dama,Mammalia,BEL,3,3,0,included,,true,true,true
Dasyprocta fuliginosa,Mammalia,ECU,3,3,0,included,,true,true,true
Dasyprocta punctata,Mammalia,ECU,3,3,0,included,,true,true,true
Dasypus novemcinctus,Mammalia,ECU,3,3,0,included,,true,true,true
Dendrocopos major,Aves,BEL,3,3,0,included,,true,true,true
Didelphis marsupialis,Mammalia,ECU,3,3,0,included,,true,true,true
Dryocopus martius,Aves,BEL|LUX,3,3,0,included,,true,true,true
Eira barbara,Mammalia,ECU,3,3,0,included,,true,true,true
Erinaceus europaeus,Mammalia,BEL,3,3,0,included,,true,true,true
Erithacus rubecula,Aves,BEL|DEU,3,3,0,included,,true,true,true
Falco tinnunculus,Aves,LUX,3,3,0,included,,true,true,true
Felis catus,Mammalia,BEL,3,3,0,included,,true,true,true
Felis silvestris,Mammalia,LUX,3,3,0,included,,true,true,true
Fringilla coelebs,Aves,DEU|LUX,3,3,0,included,,true,true,true
Gallinula chloropus,Aves,LUX,3,3,0,included,,true,true,true
Garrulus glandarius,Aves,BEL|LUX,3,3,0,included,,true,true,true
Leopardus pardalis,Mammalia,ECU,3,3,0,included,,true,true,true
Leopardus wiedii,Mammalia,ECU,3,3,0,included,,true,true,true
Lepus europaeus,Mammalia,BEL|LUX,3,3,0,included,,true,true,true
Martes foina,Mammalia,BEL|LUX,3,3,0,included,,true,true,true
Martes martes,Mammalia,LUX,3,3,0,included,,true,true,true
Mazama americana,Mammalia,ECU,3,3,0,included,,true,true,true
Mazama gouazoubira,Mammalia,ECU,3,3,0,included,,true,true,true
Meles meles,Mammalia,BEL|LUX,3,3,0,included,,true,true,true
Metachirus nudicaudatus,Mammalia,ECU,3,3,0,included,,true,true,true
Mitu salvini,Aves,ECU,3,3,0,included,,true,true,true
Motacilla flava,Aves,LUX,3,3,0,included,,true,true,true
Mustela erminea,Mammalia,BEL|LUX,3,3,0,included,,true,true,true
Mustela putorius,Mammalia,BEL|LUX,3,3,0,included,,true,true,true
Myoprocta pratti,Mammalia,ECU,3,3,0,included,,true,true,true
Myrmecophaga tridactyla,Mammalia,ECU,3,3,0,included,,true,true,true
Nothocrax urumutum,Aves,ECU,3,3,0,included,,true,true,true
Oryctolagus cuniculus,Mammalia,BEL|LUX,3,3,0,included,,true,true,true
